code,name,start,latestPrice,latestMarket,minPrice,maxPrice,upPercent,downPercent,downDays,upDays
300312,邦讯技术,2012-05-08,6.42,20.54,2.71,38.8683,86,-93,1255,4
600766,园城黄金,1996-10-28,4.54,10.17,3.14,21.5,48,-85,1152,5
002684,ST猛狮,2012-06-12,2.58,14.63,1.7,30.651,24,-94,1159,5
600112,ST天成,1997-11-27,1.51,7.68,0.9,34.906,22,-97,1322,4
300477,合纵科技,2015-06-10,4.69,39.06,2.3678,14.9745,21,-73,704,4
002811,郑中设计,2016-09-08,8.12,21.92,7.0,35.4191,20,-80,1037,5
603976,正川股份,2017-08-22,43.0,65.01,11.6498,102.17,18,-61,129,5
