code,name,start,latestPrice,latestMarket,minPrice,maxPrice,lastPercent,upDays
600121,郑州煤电,1998-01-07,6.46,78.7,1.74,9.5883,44,6
300280,紫天科技,2011-12-29,49.72,80.57,6.9158,60.34,27,6
002387,维信诺,2010-04-13,10.84,148.25,4.5653,26.95,23,8
003031,中瓷电子,2021-01-04,61.99,66.12,21.99,89.09,22,6
