code,name,start,latestPrice,latestMarket,minPrice,maxPrice,lastPercent,upDays
002647,仁东控股,2011-12-28,13.13,73.51,2.0265,64.25,86,10
688059,华锐精密,2021-02-08,112.0,49.28,64.25,112.0,74,10
300234,开尔新材,2011-06-22,8.28,42.34,1.9103,17.2899,72,10
600112,ST天成,1997-11-27,1.44,7.33,0.9,34.906,60,10
601127,小康股份,2016-06-15,20.34,260.03,7.6954,40.8901,54,10
002847,盐津铺子,2017-02-08,124.52,161.07,12.8375,153.0,38,5
000633,合金投资,1996-11-12,7.83,30.15,3.27,26.71,37,9
603186,华正新材,2017-01-03,39.12,55.56,7.5691,68.4305,36,10
601369,陕鼓动力,2010-04-28,8.93,149.84,4.6097,13.6454,35,10
000767,晋控电力,1997-06-09,3.58,110.15,2.08,11.62,30,10
002331,皖通科技,2010-01-06,15.5,63.87,4.0209,44.3075,27,10
001896,豫能控股,1998-01-22,6.88,79.16,2.75,26.41,27,10
000564,供销大集,1994-01-10,2.21,132.2,1.74,16.2223,27,6
002212,天融信,2008-02-01,23.11,271.98,3.7256,30.57,27,10
603380,易德龙,2017-06-22,20.7,33.12,12.9225,28.5702,27,10
600217,中再资环,1999-12-16,5.61,77.9,2.4,15.36,25,10
688678,福立旺,2020-12-23,21.38,37.06,17.4,28.87,23,10
688356,键凯科技,2020-08-26,103.66,62.19,77.6,136.84,23,7
688063,派能科技,2020-12-30,178.06,275.71,146.18,344.0,22,3
300769,德方纳米,2019-04-15,139.0,124.57,33.0063,189.9,21,3
